g,name1,name2,correct_idx,selected_idx
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/38.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/45.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/4.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/14.png,1,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/62.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/24.png,0,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/51.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/20.png,1,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/46.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/63.png,0,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/2.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/28.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/88.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/79.png,1,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/43.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/85.png,1,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/61.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/30.png,1,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/19.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/30.png,0,1
