g,name1,name2,correct_idx,selected_idx
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/5.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/15.png,0,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/13.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/6.png,0,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/64.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/9.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/7.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/16.png,1,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/15.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/63.png,1,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/28.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/75.png,1,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/30.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/21.png,0,1
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/72.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/43.png,1,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/64.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/40.png,1,1
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/69.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/17.png,0,1
