g,name1,name2,correct_idx,selected_idx
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/55.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/89.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/3.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/4.png,0,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/31.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/25.png,0,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/48.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/22.png,0,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/53.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/22.png,0,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/14.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/67.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/53.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/73.png,0,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/81.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/40.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/53.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/43.png,1,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/69.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/64.png,1,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/72.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/56.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/20.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/88.png,1,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/70.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/10.png,1,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/56.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/40.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/36.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/1.png,0,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/59.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/16.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/9.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/74.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/25.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/75.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/82.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/85.png,1,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/25.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/80.png,1,0
