g,name1,name2,correct_idx,selected_idx
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/23.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/50.png,1,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/85.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/87.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/44.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/61.png,0,1
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/40.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/26.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/4.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/38.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/83.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/6.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/2.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/54.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/12.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/49.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/69.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/36.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/28.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/65.png,1,1
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/54.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/73.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/16.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/30.png,1,1
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/66.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/34.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/86.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/6.png,1,0
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/63.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/71.png,1,1
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/38.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/26.png,1,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/69.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/76.png,0,0
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/32.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/70.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/32.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/23.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/40.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/78.png,0,0
