g,name1,name2,correct_idx,selected_idx
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/15.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/47.png,1,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/6.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/8.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/37.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/4.png,0,1
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/80.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/54.png,1,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/51.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/56.png,0,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/77.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/71.png,0,1
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/57.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/50.png,1,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/81.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/16.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/44.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/77.png,1,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/16.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/38.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/89.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/64.png,0,1
