g,name1,name2,correct_idx,selected_idx
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/19.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/17.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/3.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/9.png,0,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/59.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/45.png,0,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/38.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/31.png,1,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/48.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/53.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/30.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/50.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/31.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/6.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/71.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/46.png,1,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/72.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/20.png,1,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/34.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/4.png,0,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/82.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/3.png,0,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/0.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/17.png,0,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/13.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/76.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/3.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/79.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/44.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/38.png,1,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/10.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/79.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/14.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/39.png,1,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/51.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/76.png,1,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/59.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/82.png,1,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/7.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/8.png,0,1
