g,name1,name2,correct_idx,selected_idx
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/8.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/44.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/62.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/3.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/58.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/24.png,0,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/2.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/71.png,0,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/16.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/49.png,1,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/0.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/61.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/30.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/10.png,0,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/66.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/72.png,0,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/65.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/43.png,1,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/18.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/35.png,0,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/68.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/2.png,1,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/6.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/2.png,0,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/8.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/16.png,0,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/12.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/56.png,0,0
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/80.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/41.png,0,1
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/83.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/32.png,1,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/30.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/16.png,1,0
g10,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/59.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g10/66.png,0,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/84.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/1.png,0,1
g1,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/human_g10/65.png,/home/guus/Uni/AI_Master/Years/1/sem2/NatCo/NatCo-Project/data/turing_test_data/computer_g1/84.png,0,0
