Run,Iteration,Individual,Fitness,StringRepresentation
2,1,0,0.0,(y^sin(z))
2,1,1,1.0,(sin(((((((zmin0.62)max(x-0.62))^((z*x)^(0.62/0.62)))min(sin((y^x))^((x*z)min(x^0.62))))maxcos(sin((cos(z)/sin(0.62)))))maxcos((((abs(x)/abs(z))+cos(cos(0.62)))*(((y+x)min(0.62^z))/(sin(0.62)+sin(0.62)))))))-cos((sqrt(((((ymaxy)/(0.62*x))^sin((0.62-0.62)))-(((x+y)/abs(z))min(sqrt(0.62)min(0.62minz)))))/(sin(((sin(z)+(y*0.62))+((z*0.62)-(x+x))))^((sqrt(sqrt(0.62))min((z^z)min(x-0.62)))-(((0.62maxy)/(z*0.62))minsqrt(cos(x))))))))
2,1,2,0.0,x
2,1,3,0.0,abs((cos(((abs((abs(y)maxsin(0.62)))*(((x/y)-(z^y))/abs((x-x))))/((sqrt((zmaxx))+(abs(x)*(x^0.62)))/cos(((z^z)*sin(z))))))min((((cos(cos(0.62))+cos(sqrt(0.62)))min(sin((y^x))-(sin(z)mincos(0.62))))^((abs(sqrt(z))minsqrt(abs(x)))max(cos(cos(x))-((ymax0.62)max(0.62maxy)))))-((abs(((0.62-y)*(y/z)))+cos(cos((0.62+x))))/sqrt((abs((y-y))^sqrt((y+y))))))))
2,1,4,1.0,abs((cos((abs(((cos(x)mincos(0.62))maxsin((xminz))))/((((zmaxy)^abs(x))max(sin(z)*(x+x)))+(abs(cos(y))min(sqrt(y)/sqrt(z))))))+(((abs(sin((y*z)))/(sin((x*z))+sqrt((z/y))))/((((y*z)maxcos(x))max((x/0.62)^(z^z)))*(sqrt(cos(y))^(cos(z)^cos(z)))))/(((((xminx)/(y*y))*sin((0.62*0.62)))minsin(sin(abs(x))))-(sqrt(sqrt((y*y)))-cos(cos((0.62/y))))))))
2,1,5,0.0,sin(y)
2,1,6,0.0,sin(sqrt(0.62))
2,1,7,0.0,y
2,1,8,0.0,0.62
2,2,0,0.0,abs((cos((abs(((cos(x)mincos(0.62))maxsin((xminz))))/((((zmaxy)^abs(x))max(sin(z)*(x+x)))+(abs(cos(y))min(sqrt(y)/sqrt(z))))))+(((abs(sin((y*z)))/(sin((x*z))+sqrt((z/y))))/((((y*z)maxcos(x))max((x/0.62)^(z^z)))*(sqrt(cos(y))^(cos(z)^cos((y*y))))))/(((((xminx)/(y*y))*sin((0.62*0.62)))minsin(sin(abs(x))))-(sqrt(sqrt((y*y)))-cos(cos((0.62/y))))))))
2,2,1,0.0,abs((cos((abs(((cos(x)mincos(0.62))maxsin((xminz))))/((((zmaxy)^abs(x))max(sin(z)*(x+x)))+(abs(cos(y))min(sqrt(y)/sqrt(z))))))+(((abs(sin((y*z)))/(sin((x*z))+sqrt((z/y))))/((((y*z)maxcos(x))max((x/0.62)^(z^z)))*(sqrt(cos(y))^(cos(z)^cos(z)))))/(((((xminx)/z)*sin((0.62*0.62)))minsin(sin(abs(x))))-(sqrt(sqrt((y*y)))-cos(cos((0.62/y))))))))
2,2,2,0.0,(sin(((((((zmin0.62)max(x-0.62))^((z*x)^((x*z)min(x^0.62))))min(sin((y^x))^((x*z)min(x^0.62))))maxcos(sin((cos(z)/sin(0.62)))))maxcos((((abs(x)/abs(z))+cos(cos(0.62)))*(((y+x)min(0.62^z))/(sin(0.62)+sin(0.62)))))))-cos((sqrt(((((ymaxy)/(0.62*x))^sin((0.62-0.62)))-(((x+y)/abs(z))min(sqrt(0.62)min(0.62minz)))))/(sin(((sin(z)+(y*0.62))+((z*0.62)-(x+x))))^((sqrt(sqrt(0.62))min((z^z)min(x-0.62)))-(((0.62maxy)/(z*0.62))minsqrt(cos(x))))))))
2,2,3,0.0,(sin(((((((zmin0.62)max(x-0.62))^((z*x)^(0.62/0.62)))min(sin((y^x))^(0.62/0.62)))maxcos(sin((cos(z)/sin(0.62)))))maxcos((((abs(x)/abs(z))+cos(cos(0.62)))*(((y+x)min(0.62^z))/(sin(0.62)+sin(0.62)))))))-cos((sqrt(((((ymaxy)/(0.62*x))^sin((0.62-0.62)))-(((x+y)/abs(z))min(sqrt(0.62)min(0.62minz)))))/(sin(((sin(z)+(y*0.62))+((z*0.62)-(x+x))))^((sqrt(sqrt(0.62))min((z^z)min(x-0.62)))-(((0.62maxy)/(z*0.62))minsqrt(cos(x))))))))
2,2,4,0.0,abs((cos((abs(((cos(x)mincos(0.62))maxsin((xminz))))/((((zmaxy)^abs(x))max(sin(z)*(x+x)))+(abs(cos(y))min(sqrt(y)/sqrt(z))))))+(((abs(sin((y*z)))/(sin((x*z))+(y*0.62)))/((((y*z)maxcos(x))max((x/0.62)^(z^z)))*(sqrt(cos(y))^(cos(z)^cos(z)))))/(((((xminx)/(y*y))*sin((0.62*0.62)))minsin(sin(abs(x))))-(sqrt(sqrt((y*y)))-cos(cos((0.62/y))))))))
2,2,5,1.0,(sin(((((((zmin0.62)max(x-0.62))^((z*x)^(0.62/0.62)))min(sin((y^x))^((x*z)min(x^0.62))))maxcos(sin((cos(z)/sin(0.62)))))maxcos((((abs(x)/abs(z))+cos(cos(0.62)))*(((y+x)min(0.62^z))/(sin(0.62)+sin(0.62)))))))-cos((sqrt(((((ymaxy)/(0.62*x))^sin((0.62-0.62)))-(((x+y)/abs(z))min(sqrt(0.62)min(0.62minz)))))/(sin(((sin(z)+sqrt((z/y)))+((z*0.62)-(x+x))))^((sqrt(sqrt(0.62))min((z^z)min(x-0.62)))-(((0.62maxy)/(z*0.62))minsqrt(cos(x))))))))
2,2,6,0.0,abs((cos((abs(((cos(x)mincos(0.62))maxsin((xminz))))/((((zmaxy)^abs(x))max(sin(z)*(x+x)))+(abs(cos(y))min(sqrt(y)/sqrt(z))))))+(((abs(sin((y*z)))/(sin((x*z))+sqrt((z/y))))/((((y*z)maxcos(x))max((x/0.62)^(z^z)))*(sqrt(cos(y))^(cos(z)^cos(z)))))/(((((xminx)/abs(x))*sin((0.62*0.62)))minsin(sin(abs(x))))-(sqrt(sqrt((y*y)))-cos(cos((0.62/y))))))))
2,2,7,0.0,abs((cos((abs(((cos(x)mincos(0.62))maxsin((xminz))))/((((zmaxy)^abs(x))max(sin(z)*(x+x)))+(abs(cos(y))min(sqrt(y)/sqrt(z))))))+(((abs(sin((y*z)))/(sin((x*z))+sqrt((z/y))))/((((y*z)maxcos(x))max((x/0.62)^(z^z)))*(sqrt(cos(y))^(cos(z)^cos(z)))))/(((((xminx)/(y*y))*sin((0.62*0.62)))minsin(sin((y*y))))-(sqrt(sqrt((y*y)))-cos(cos((0.62/y))))))))
2,2,8,0.0,(sin(((((((zmin0.62)max(x-0.62))^((z*x)^(0.62/0.62)))min(sin((y^x))^((x*z)min(x^0.62))))maxcos(sin((cos(z)/sin(0.62)))))maxcos((((abs(x)/abs(z))+cos(cos(0.62)))*(((y+x)min(0.62^z))/(sin(0.62)+sin(0.62)))))))-cos((sqrt(((((ymaxy)/(0.62*x))^sin((0.62-0.62)))-(((x+y)/abs(z))min(sqrt(0.62)min(0.62minz)))))/(sin(((sin(z)+(y*0.62))+((z*0.62)-(x+x))))^((sqrt(sqrt(0.62))min((z^z)min(sqrt((z/y))-0.62)))-(((0.62maxy)/(z*0.62))minsqrt(cos(x))))))))
2,3,0,1.0,(sin(((((((zmin0.62)max(x-0.62))^((z*x)^(0.62/0.62)))min(sin((y^x))^((x*z)min(x^0.62))))maxcos(sin((cos(z)/sin(0.62)))))maxcos((((abs(x)/abs(z))+cos(cos(0.62)))*(((y+x)min(0.62^z))/(sin(0.62)+sin(0.62)))))))-cos((sqrt(((((ymaxy)/(0.62*x))^sin((0.62-0.62)))-(((x+y)/abs(z))min(sqrt(0.62)min(0.62minz)))))/(sin(((sin(z)+sqrt((z/y)))+((z*0.62)-(x+x))))^((sqrt(sqrt(0.62))mincos(0.62))-(((0.62maxy)/(z*0.62))minsqrt(cos(x))))))))
