g,name1,name2,correct_idx,selected_idx
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/39.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/17.png,0,1
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/85.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/41.png,1,1
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/46.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/18.png,1,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/9.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/42.png,0,1
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/6.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/71.png,1,1
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/42.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/9.png,1,0
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/15.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/86.png,1,0
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/31.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/56.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/20.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/39.png,1,0
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/17.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/55.png,1,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/5.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/1.png,0,0
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/37.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/40.png,1,0
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/9.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/27.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/50.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/44.png,1,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/26.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/12.png,0,1
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/85.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/6.png,1,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/81.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/4.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/66.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/42.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/1.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/69.png,1,0
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/38.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/87.png,0,1
