g,name1,name2,correct_idx,selected_idx
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/11.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/14.png,1,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/89.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/84.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/60.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/67.png,0,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/27.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/45.png,1,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/82.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/9.png,0,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/60.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/47.png,0,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/4.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/46.png,1,1
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/59.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/23.png,1,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/7.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/57.png,0,0
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/10.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/56.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/39.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/31.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/21.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/68.png,0,1
g10,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g10/2.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/69.png,1,0
g1,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/computer_g1/37.png,/Users/ron/Documents/Artificial Intelligence/Master/1. Year/2. Semester/Natural Computing/NatCo-Project/data/turing_test_data/human_g10/21.png,1,0
